ID,Link,Get link share
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/lechi.dai.50/posts/658385161272892
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=863611980671539&id=100010682353515
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/thilien.le.754365/posts/673329853127964
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=840766052967545&id=100011024736842
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=845909892442221&id=100010696538892
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=831731660539670&id=100011085313644
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=830479540666002&id=100011118911282
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/phung.tranminh.1238/posts/826623997716396
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=809337956105995&id=100010893947979
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=625156804651696&id=100014721450721
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,null
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,https://www.facebook.com/hoangluanblv/posts/3342401055785818?__xts__%5B0%5D=68.ARCTSYZ9hlzQ6r8joXdJa3YqOvLVomyI5P_ZndXIZhqowE6nWbkRBKaC5OskbqrqXYOZNpQyQfVnW5AjcH67LNxSQzWAEyc_qqM-mvfZBnaXbanvbZaBg4yoXVigjCF8Dl1T1Bk7AesZNWn4z1YoxO2dZBYWuVo7pR3kn5jPlzm3r0QO5u9OAv5adAT8caWu1Pev3dKYiFDaj3EsPfGFB6aP6PcPkLd9GjlzZ4j0nWebaYBt9oTQAeD5MLNWS_fcrmsnVTyuYogk_bP8Wlt_j-JdzVzurmgbxatEEkAw2J9fO_GgK3b-3-5uJYRye9ikGn_vcQkgYfCjDveAGvjjVg&__tn__=-R
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,https://www.facebook.com/hoangluanblv/posts/3341782132514377?__xts__%5B0%5D=68.ARCxrfOCXnZGgsw7uKX7Z29yAr1FfqeXVxyQRK0h2JQzqxhoikIudDfizwlOg9h2IY7-wtB4BKZe6nNSsRAqvbofgLDMbODLmoBfz7nSvHFpg_wGXXCsYKdooZolabYSVraM0P8ndx8HCVI72EArrQiJp-17jMJdVeVIkmfQB5pPLGt-kY3w-8MtNakT9jRdZ91M6YUpubnm-FGwVY8Ep-JhKbgbFlYKn0yEeXnB5FY1RwX20ez4itxMvql7F_KYLGxH3QxXE7oydUbN5Vm_5JxN0r04tbu_FAhXr6Icwu2WWcpwJirS3NyMowx_XbcSq5Gkw4_Bak0fxSREwwwiUwARaw&__tn__=-R
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,https://www.facebook.com/hoangluanblv/posts/3339164636109460?__xts__%5B0%5D=68.ARB0waoM9U9F9qExpGN229IebplNsSp1-oWUbupCTPizuUVHJISelSwIpB9Epk99V0c3w8a1X4W98ee_4QOQm2G86dNHYPARCiukmnq7WwHbk1Lb9IDa1iGTMS2jEtiEpsC7gcXI-dZVLBtHNkKLubeGkLzq-i5WDoQbdZq5WM8F_Korow8ol1hXnO5GU97I2drYVV2igqhC5DkG3TdrlhI56WCh_rhIIIX7MnuYfznkvK-6bDuxQgFwxcTO7LlVbkZEYSQEFI9vSblfieIO7rpeIPlauZRI9NunQWIaUx6Z10L_MQV_z9G4mF_uCdV0xiZ1-kqncF3HvDyRyxb-4A&__tn__=-R
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,https://www.facebook.com/hoangluanblv/posts/3345651018794155?__xts__%5B0%5D=68.ARAQaNwY99vLHqJwJYqjuCx7Ih1GdOxXWNUDgJhRjquld_sHjh2xQe9eeMVlN25rcnXXZUa9kwrI1hYHHnj5iUcuvFjRvh1wBfmGbKWVfVNU2GQcerxJbADXc4e8TpXkLu5iNTwXyFNtZtHhupRzCKgWF9TsqmLlouaJkqaJ-nurg-W4KxMbKEls5_yT7WQDCxPQS9QrF3HylnQI0zvbnKjdGuSVvstzdUTSlTi3PR889TS_NrLXeC9SxEk9_QW5zfCihitvZB7RO4A65-d3d3FI7P0tlr_tA444k_Wyw37kyxqhbYluCRSc1Nrw5hH27pUeiQFiQQL0oO4ByaIGQw&__tn__=-R
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,https://www.facebook.com/hoangluanblv/posts/3261861807173077?__xts__%5B0%5D=68.ARCfio5X2_CflzP1ASJWOK6ClnOUrbjfolHUbVOJq5WlwzbyEEpdkZ16cT0-5TRTbu8qaAtgM_8A2nzjQaEr0_ce8EHgivzeDLN-4B8Pq-vnUfH4hTA6GLwuzSYVlNIaL8qhjulNIj0OWjCbXiZWAXM09JrpP7oFSMhOFKsdzXK7GoFKYNKJ7Vopq3e4Vx5Vepp4GdqoUQpthos7gVG5AxNqN0MnOyjhCdFHoXLiZrMNk1W6lir5BPCVbLxMiGCMA410WrgjsPhvYihd5QgnyyW2re38YAWPVOtVaemMffzSLSklubzSCiG61VdiOHDOIbkoDzz01eExbunP2VfJV5afUw&__tn__=-R
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,https://www.facebook.com/hoangluanblv/posts/3342002535825670?__xts__%5B0%5D=68.ARBFQytWPaRKmJFQl82KfJUdBkuxKJ6wzsff7Umz3hJtzVff5dwm-QmGCwvVOFGcqPOcHOswHPHITmqjQ-hfaz9ovUlqVyFgtQ30xTItL0b6gGwExKtHdPSpBvuOg97qR0l6NM8I8eQrCYyDUty5aRO2txA3GMS0uUIcr_4eJYadMI8pvCi1P3sqfhdzzp-MRhHluoFHASWkYsOnx31qJZcW_SJv4xuMjXaEDTdvqtexJB2UCLYMb7JeRBKWmqlH-OKO8wmpnIFsqN8Jq4MO0YHoVm05tI8A8fB0VtWU-sCmKqHPB8OsbX1dM8a0Vv3YrlWcXjr7_0SD0uyM7xCecg&__tn__=-R
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,https://www.facebook.com/hoangluanblv/posts/3342659222426668?__xts__%5B0%5D=68.ARA21gIv_If5umnZ7d4l1OMIZwblzbLmtyUtiV-p_bVNapb50tX_oiDln_6kybrN6eq7BcQx74sogH8n7yJbCoojcj5JXLN5hwfKU7DpLMZkvCC7a8dm2k73fnZLmE6Pd_LRMuckbeM604fSFUQKECErueYaQLamp48doMf6Jn1zTxYLXxs4XG7am6wYSfKl8OIGdVkP6ZbZ6RjsQW01HVAosLHyVfZeoRJgbhujQCPEPYJ4qKD88Zoz8mNawBAhNov3Sdf31MdNFnCg5Jb5k_Amks0zGXucPjY_CUKYgwYm613wNlbwAVfcmnry8-Y0bzW9rZ28Ui22X2Ennk9hww&__tn__=-R
23,https://www.facebook.com/hoangluanblv/posts/3261861807173077,https://www.facebook.com/hoangluanblv/posts/3261861807173077?__xts__%5B0%5D=68.ARDqAyfyszzCwxSOuKhj0Fgb5IduYaq0CLIjYJnZoL0PoJaOTjczyP2x2mgHZkgjqsRCh0yPtayh8fa-EGoY861UWJkS8LFucMTQ5ZpTvkIl23iy-BXyACB27JfsrcZ3g--lLRjeuMuTCaWuPhkZA5clcp9rmMi5UXR-C4FdERIJF-3czI0rcmpkDyXL9DMv7hirf77Ff_WVVe0e5zryozi9wh7h3u-ZNLG4df8e0BDgSQXUJen5SFXFctlpOI-7XaApFrwBl0G3Yk0TdPG8FQdDQ082JWacuh39fSf3AWayujqhotLOkzRJ-y7CUJA5Q85t&__tn__=H-R
